Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Temperature (C)_1
1,60,04/04/17 13:20:22,60,1,1,0.00,3.03,0.00,0.00,0,0,-3.25782E-05,0,0,0,0,19
2,120,04/04/17 13:21:22,120,1,1,0.00,3.03,0.00,0.00,0,0,0,0,0,0,0,19
3,180,04/04/17 13:22:22,180,1,1,0.00,3.03,0.00,0.00,0,0,3.29829E-05,0,0,0,0,19
4,240,04/04/17 13:23:22,240,1,1,0.00,3.03,0.00,0.00,0,0,-6.53579E-05,0,0,0,0,19
5,300,04/04/17 13:24:22,300,1,1,0.00,3.03,0.00,0.00,0,0,-3.27795E-05,0,0,0,0,19
6,300,04/04/17 13:24:23,0,2,1,1.47,3.09,0.00,0.00,0,0,0,0,0,0,0,20
7,311,04/04/17 13:24:34,11,2,1,1.48,3.14,0.00,0.00,0,0,0.003342385,0,0,0,0,19
8,332,04/04/17 13:24:55,32,2,1,1.48,3.19,0.01,0.00,0,0,0.002111556,0,0,0,0,19
9,362,04/04/17 13:25:25,62,2,1,1.47,3.24,0.03,0.00,0,0,0.001385574,0,0,0,0,19
10,408,04/04/17 13:26:11,108,2,1,1.48,3.29,0.04,0.00,0,0,0.00095968,0,0,0,0,20
11,471,04/04/17 13:27:14,171,2,1,1.47,3.34,0.07,0.00,0,0,0.00072803,0,0,0,0,20
12,557,04/04/17 13:28:40,257,2,1,1.48,3.39,0.11,0.00,0,0,0.000491786,0,0,0,0,20
13,698,04/04/17 13:31:01,398,2,1,1.47,3.44,0.16,0.00,1,0,0.000295062,0,0,0,0,20
14,936,04/04/17 13:34:59,636,2,1,1.48,3.49,0.26,0.00,1,0,0.000196069,0,0,0,0,20
15,1236,04/04/17 13:39:59,936,2,1,1.48,3.53,0.38,0.00,1,0,0.000132392,0,0,0,0,21
16,1536,04/04/17 13:44:59,1236,2,1,1.47,3.57,0.51,0.00,2,0,9.93053E-05,0,0,0,0,21
17,1836,04/04/17 13:49:59,1536,2,1,1.48,3.61,0.63,0.00,2,0,0.000163938,0,0,0,0,21
18,2136,04/04/17 13:54:59,1836,2,1,1.48,3.65,0.75,0.00,3,0,0.00013239,0,0,0,0,20
19,2436,04/04/17 13:59:59,2136,2,1,1.47,3.69,0.88,0.00,3,0,9.83858E-05,0,0,0,0,20
20,2736,04/04/17 14:04:59,2436,2,1,1.47,3.72,1.00,0.00,4,0,3.27806E-05,0,0,0,0,21
21,3036,04/04/17 14:09:59,2736,2,1,1.47,3.75,1.12,0.00,4,0,0.000131571,0,0,0,0,20
22,3336,04/04/17 14:15:00,3036,2,1,1.48,3.79,1.24,0.00,4,0,9.89492E-05,0,0,0,0,21
23,3636,04/04/17 14:20:00,3336,2,1,1.48,3.83,1.37,0.00,5,0,0.000197332,0,0,0,0,21
24,3936,04/04/17 14:25:00,3636,2,1,1.47,3.87,1.49,0.00,5,0,0.000197948,0,0,0,0,21
25,4236,04/04/17 14:30:00,3936,2,1,1.48,3.90,1.61,0.00,6,0,3.30854E-05,0,0,0,0,21
26,4536,04/04/17 14:35:00,4236,2,1,1.48,3.94,1.74,0.00,6,0,0.000131571,0,0,0,0,21
27,4836,04/04/17 14:40:00,4536,2,1,1.48,3.97,1.86,0.00,7,0,3.2881E-05,0,0,0,0,21
28,5136,04/04/17 14:45:00,4836,2,1,1.48,4.00,1.98,0.00,7,0,9.86446E-05,0,0,0,0,21
29,5436,04/04/17 14:50:00,5136,2,1,1.48,4.04,2.10,0.00,8,0,0.000163897,0,0,0,0,21
30,5736,04/04/17 14:55:00,5436,2,1,1.47,4.09,2.23,0.00,8,0,0.000132341,0,0,0,0,21
31,6036,04/04/17 15:00:00,5736,2,1,1.47,4.14,2.35,0.00,9,0,0.000229457,0,0,0,0,21
32,6336,04/04/17 15:05:00,6036,2,1,1.48,4.17,2.47,0.00,9,0,3.27786E-05,0,0,0,0,21
33,6636,04/04/17 15:10:00,6336,2,1,1.48,4.19,2.60,0.00,10,0,6.49574E-05,0,0,0,0,21
34,6729,04/04/17 15:11:32,6429,2,1,1.47,4.20,2.63,0.00,10,0,0.00019861,0,0,0,0,21
35,6763,04/04/17 15:12:06,34,3,1,1.42,4.20,2.65,0.00,10,0,0,0,0,0,0,21
36,6807,04/04/17 15:12:50,78,3,1,1.37,4.20,2.66,0.00,10,0,3.28814E-05,0,0,0,0,21
37,6855,04/04/17 15:13:39,127,3,1,1.32,4.20,2.68,0.00,10,0,3.2983E-05,0,0,0,0,21
38,6904,04/04/17 15:14:28,176,3,1,1.27,4.20,2.70,0.00,10,0,3.29831E-05,0,0,0,0,21
39,6953,04/04/17 15:15:16,224,3,1,1.22,4.20,2.72,0.00,10,0,-3.30849E-05,0,0,0,0,21
40,7001,04/04/17 15:16:05,272,3,1,1.17,4.20,2.73,0.00,10,0,3.29836E-05,0,0,0,0,21
41,7048,04/04/17 15:16:51,319,3,1,1.12,4.20,2.75,0.00,11,0,-3.30868E-05,0,0,0,0,21
42,7093,04/04/17 15:17:37,365,3,1,1.07,4.20,2.76,0.00,11,0,-3.28804E-05,0,0,0,0,21
43,7139,04/04/17 15:18:22,410,3,1,1.02,4.20,2.78,0.00,11,0,-3.27796E-05,0,0,0,0,21
44,7184,04/04/17 15:19:07,455,3,1,0.97,4.20,2.79,0.00,11,0,3.2881E-05,0,0,0,0,21
45,7228,04/04/17 15:19:52,500,3,1,0.92,4.20,2.80,0.00,11,0,0,0,0,0,0,21
46,7272,04/04/17 15:20:36,544,3,1,0.87,4.20,2.81,0.00,11,0,-9.74371E-05,0,0,0,0,21
47,7317,04/04/17 15:21:21,589,3,1,0.82,4.20,2.82,0.00,11,0,3.29829E-05,0,0,0,0,21
48,7363,04/04/17 15:22:06,634,3,1,0.77,4.20,2.83,0.00,11,0,-3.2983E-05,0,0,0,0,21
49,7409,04/04/17 15:22:52,680,3,1,0.72,4.20,2.84,0.00,11,0,-3.24789E-05,0,0,0,0,21
50,7457,04/04/17 15:23:40,728,3,1,0.67,4.20,2.85,0.00,11,0,0,0,0,0,0,21
51,7506,04/04/17 15:24:29,777,3,1,0.62,4.20,2.86,0.00,11,0,-3.27794E-05,0,0,0,0,20
52,7557,04/04/17 15:25:21,829,3,1,0.57,4.20,2.87,0.00,11,0,-6.61692E-05,0,0,0,0,20
53,7612,04/04/17 15:26:16,883,3,1,0.52,4.20,2.88,0.00,11,0,6.53573E-05,0,0,0,0,20
54,7671,04/04/17 15:27:14,942,3,1,0.47,4.20,2.88,0.00,11,0,3.27794E-05,0,0,0,0,20
55,7735,04/04/17 15:28:18,1006,3,1,0.42,4.20,2.89,0.00,11,0,6.62675E-05,0,0,0,0,20
56,7807,04/04/17 15:29:31,1079,3,1,0.37,4.20,2.90,0.00,11,0,-3.29825E-05,0,0,0,0,20
57,7888,04/04/17 15:30:51,1159,3,1,0.32,4.20,2.91,0.00,11,0,-6.62083E-05,0,0,0,0,20
58,7984,04/04/17 15:32:28,1255,3,1,0.27,4.20,2.91,0.00,11,0,-3.30859E-05,0,0,0,0,20
59,8101,04/04/17 15:34:24,1372,3,1,0.22,4.20,2.92,0.00,11,0,0,0,0,0,0,20
60,8257,04/04/17 15:37:00,1528,3,1,0.17,4.20,2.93,0.00,11,0,0,0,0,0,0,20
61,8328,04/04/17 15:38:12,1599,3,1,0.15,4.20,2.93,0.00,11,0,-6.57611E-05,0,0,0,0,20
62,8388,04/04/17 17:06:20,60,4,1,0.00,4.16,2.93,0.00,11,0,-3.28809E-05,0,0,0,0,19
63,8448,04/04/17 17:07:20,120,4,1,0.00,4.16,2.93,0.00,11,0,0,0,0,0,0,19
64,8508,04/04/17 17:08:20,180,4,1,0.00,4.16,2.93,0.00,11,0,0,0,0,0,0,19
65,8568,04/04/17 17:09:20,240,4,1,0.00,4.16,2.93,0.00,11,0,-3.30862E-05,0,0,0,0,19
66,8628,04/04/17 17:10:20,300,4,1,0.00,4.16,2.93,0.00,11,0,-3.26791E-05,0,0,0,0,19
67,8688,04/04/17 17:11:20,360,4,1,0.00,4.16,2.93,0.00,11,0,0,0,0,0,0,19
68,8748,04/04/17 17:12:20,420,4,1,0.00,4.16,2.93,0.00,11,0,9.83395E-05,0,0,0,0,19
69,8808,04/04/17 17:13:20,480,4,1,0.00,4.16,2.93,0.00,11,0,0,0,0,0,0,19
70,8868,04/04/17 17:14:20,540,4,1,0.00,4.16,2.93,0.00,11,0,-6.61724E-05,0,0,0,0,19
71,8928,04/04/17 17:15:20,600,4,1,0.00,4.16,2.93,0.00,11,0,-6.55588E-05,0,0,0,0,19
72,8988,04/04/17 17:16:20,660,4,1,0.00,4.16,2.93,0.00,11,0,3.30859E-05,0,0,0,0,19
73,9048,04/04/17 17:17:20,720,4,1,0.00,4.16,2.93,0.00,11,0,-3.27789E-05,0,0,0,0,19
74,9108,04/04/17 17:18:20,780,4,1,0.00,4.16,2.93,0.00,11,0,0,0,0,0,0,19
75,9168,04/04/17 17:19:20,840,4,1,0.00,4.16,2.93,0.00,11,0,3.28811E-05,0,0,0,0,19
76,9228,04/04/17 17:20:20,900,4,1,0.00,4.16,2.93,0.00,11,0,-3.2779E-05,0,0,0,0,19
77,9288,04/04/17 17:21:21,60,5,1,-0.52,4.12,2.93,0.01,11,0,-0.000230261,0,0,0,0,19
78,9348,04/04/17 17:22:21,120,5,1,-0.52,4.12,2.93,0.02,11,0,-0.000195562,0,0,0,0,19
79,9408,04/04/17 17:23:21,180,5,1,-0.52,4.11,2.93,0.03,11,0,-3.27792E-05,0,0,0,0,18
80,9468,04/04/17 17:24:21,240,5,1,-0.52,4.10,2.93,0.03,11,0,-6.55587E-05,0,0,0,0,19
81,9528,04/04/17 17:25:21,300,5,1,-0.52,4.10,2.93,0.04,11,0,-6.49575E-05,0,0,0,0,19
82,9588,04/04/17 17:26:21,360,5,1,-0.53,4.09,2.93,0.05,11,0,-3.2983E-05,0,0,0,0,19
83,9648,04/04/17 17:27:21,420,5,1,-0.53,4.09,2.93,0.06,11,0,-6.51566E-05,0,0,0,0,19
84,9708,04/04/17 17:28:21,480,5,1,-0.53,4.08,2.93,0.07,11,0,-6.59662E-05,0,0,0,0,18
85,9768,04/04/17 17:29:21,540,5,1,-0.53,4.08,2.93,0.08,11,0,-3.29826E-05,0,0,0,0,18
86,9828,04/04/17 17:30:21,600,5,1,-0.53,4.08,2.93,0.09,11,0,3.22818E-05,0,0,0,0,18
87,9838,04/04/17 17:30:31,10,6,1,0.00,4.10,2.93,0.09,11,0,0.000295017,0,0,0,0,19
88,9848,04/04/17 17:30:41,20,6,1,0.00,4.10,2.93,0.09,11,0,9.92612E-05,0,0,0,0,18
89,9858,04/04/17 17:30:51,30,6,1,0.00,4.10,2.93,0.09,11,0,3.30777E-05,0,0,0,0,18
90,9868,04/04/17 17:31:01,40,6,1,0.00,4.10,2.93,0.09,11,0,3.30852E-05,0,0,0,0,18
91,9878,04/04/17 17:31:11,50,6,1,0.00,4.10,2.93,0.09,11,0,3.2478E-05,0,0,0,0,18
92,9888,04/04/17 17:31:21,60,6,1,0.00,4.10,2.93,0.09,11,0,6.61717E-05,0,0,0,0,19
93,9898,04/04/17 17:31:31,70,6,1,0.00,4.10,2.93,0.09,11,0,0,0,0,0,0,18
94,9908,04/04/17 17:31:41,80,6,1,0.00,4.10,2.93,0.09,11,0,0,0,0,0,0,18
95,9918,04/04/17 17:31:51,90,6,1,0.00,4.11,2.93,0.09,11,0,6.49573E-05,0,0,0,0,18
96,9928,04/04/17 17:32:01,100,6,1,0.00,4.11,2.93,0.09,11,0,0,0,0,0,0,18
97,9938,04/04/17 17:32:11,110,6,1,0.00,4.11,2.93,0.09,11,0,6.49567E-05,0,0,0,0,18
98,9948,04/04/17 17:32:21,120,6,1,0.00,4.11,2.93,0.09,11,0,3.2983E-05,0,0,0,0,19
99,9948,04/04/17 17:32:22,0,7,1,-6.27,3.89,2.93,0.09,11,0,0,0,0,0,0,19
100,9950,04/04/17 17:32:24,2,7,1,-6.69,3.85,2.93,0.09,11,0,-0.007369184,0,0,0,0,19
101,9952,04/04/17 17:32:26,4,7,1,-6.71,3.84,2.93,0.09,11,0,-0.009958411,0,0,0,0,18
102,9954,04/04/17 17:32:28,6,7,1,-6.73,3.83,2.93,0.10,11,0,-0.006158658,0,0,0,0,19
103,9956,04/04/17 17:32:30,8,7,1,-6.74,3.82,2.93,0.10,11,0,-0.004453556,0,0,0,0,18
104,9958,04/04/17 17:32:32,10,7,1,-6.75,3.81,2.93,0.11,11,0,-0.003562774,0,0,0,0,19
105,9960,04/04/17 17:32:34,12,7,1,-6.76,3.81,2.93,0.11,11,0,-0.003124301,0,0,0,0,19
106,9962,04/04/17 17:32:36,14,7,1,-6.77,3.80,2.93,0.11,11,0,-0.002647437,0,0,0,0,19
107,9964,04/04/17 17:32:38,16,7,1,-6.78,3.80,2.93,0.12,11,0,-0.002269226,0,0,0,0,19
108,9966,04/04/17 17:32:40,18,7,1,-6.78,3.80,2.93,0.12,11,0,-0.002032752,0,0,0,0,19
109,9968,04/04/17 17:32:42,20,7,1,-6.79,3.79,2.93,0.13,11,1,-0.001847431,0,0,0,0,19
110,9970,04/04/17 17:32:44,22,7,1,-6.80,3.79,2.93,0.13,11,1,-0.001644424,0,0,0,0,19
111,9972,04/04/17 17:32:46,24,7,1,-6.80,3.79,2.93,0.13,11,1,-0.001554579,0,0,0,0,19
112,9974,04/04/17 17:32:48,26,7,1,-6.81,3.78,2.93,0.14,11,1,-0.001327844,0,0,0,0,19
113,9976,04/04/17 17:32:50,28,7,1,-6.81,3.78,2.93,0.14,11,1,-0.001352628,0,0,0,0,19
114,9978,04/04/17 17:32:52,30,7,1,-6.81,3.78,2.93,0.14,11,1,-0.001242041,0,0,0,0,19
115,9978,04/04/17 17:32:52,0,8,1,0.00,4.01,2.93,0.14,11,1,0,0,0,0,0,19
116,9983,04/04/17 17:32:57,5,8,1,0.00,4.04,2.93,0.14,11,1,0.005410767,0,0,0,0,19
117,9988,04/04/17 17:33:02,10,8,1,0.00,4.05,2.93,0.14,11,1,0.002065479,0,0,0,0,19
118,9993,04/04/17 17:33:07,15,8,1,0.00,4.06,2.93,0.14,11,1,0.001372774,0,0,0,0,19
119,9998,04/04/17 17:33:12,20,8,1,0.00,4.06,2.93,0.14,11,1,0.000985776,0,0,0,0,20
120,10003,04/04/17 17:33:17,25,8,1,0.00,4.07,2.93,0.14,11,1,0.000818803,0,0,0,0,19
121,10008,04/04/17 17:33:22,30,8,1,0.00,4.07,2.93,0.14,11,1,0.000627471,0,0,0,0,19
122,10013,04/04/17 17:33:27,35,8,1,0.00,4.07,2.93,0.14,11,1,0.000527825,0,0,0,0,19
123,10018,04/04/17 17:33:32,40,8,1,0.00,4.07,2.93,0.14,11,1,0.000429796,0,0,0,0,19
124,10023,04/04/17 17:33:37,45,8,1,0.00,4.08,2.93,0.14,11,1,0.000463743,0,0,0,0,19
125,10028,04/04/17 17:33:42,50,8,1,0.00,4.08,2.93,0.14,11,1,0.000325874,0,0,0,0,19
126,10033,04/04/17 17:33:47,55,8,1,0.00,4.08,2.93,0.14,11,1,0.000296852,0,0,0,0,20
127,10038,04/04/17 17:33:52,60,8,1,0.00,4.08,2.93,0.14,11,1,0.000229552,0,0,0,0,19
128,10038,04/04/17 17:33:53,0,9,1,-6.31,3.87,2.93,0.14,11,1,0,0,0,0,0,20
129,10042,04/04/17 17:33:57,4,9,1,-6.74,3.82,2.93,0.15,11,1,-0.010057974,0,0,0,0,20
130,10052,04/04/17 17:34:07,14,9,1,-6.79,3.79,2.93,0.17,11,1,-0.002353379,0,0,0,0,20
131,10062,04/04/17 17:34:17,24,9,1,-6.82,3.78,2.93,0.19,11,1,-0.001396844,0,0,0,0,20
132,10072,04/04/17 17:34:27,34,9,1,-6.84,3.76,2.93,0.21,11,1,-0.001068692,0,0,0,0,20
133,10082,04/04/17 17:34:37,44,9,1,-6.86,3.75,2.93,0.23,11,1,-0.000915179,0,0,0,0,20
134,10092,04/04/17 17:34:47,54,9,1,-6.88,3.75,2.93,0.25,11,1,-0.000758745,0,0,0,0,21
135,10102,04/04/17 17:34:57,64,9,1,-6.89,3.74,2.93,0.27,11,1,-0.000643805,0,0,0,0,21
136,10112,04/04/17 17:35:07,74,9,1,-6.90,3.73,2.93,0.28,11,1,-0.000647722,0,0,0,0,21
137,10122,04/04/17 17:35:17,84,9,1,-6.91,3.73,2.93,0.30,11,1,-0.000557343,0,0,0,0,22
138,10132,04/04/17 17:35:27,94,9,1,-6.92,3.72,2.93,0.32,11,1,-0.000516629,0,0,0,0,22
139,10138,04/04/17 17:35:33,100,9,1,-6.92,3.72,2.93,0.33,11,1,-0.000454802,0,0,0,0,22
140,10168,04/04/17 17:36:03,30,10,1,-6.95,3.70,2.93,0.39,11,2,-0.000457541,0,0,0,0,24
141,10198,04/04/17 17:36:33,60,10,1,-6.98,3.69,2.93,0.45,11,2,-0.000488736,0,0,0,0,25
142,10228,04/04/17 17:37:03,90,10,1,-7.01,3.68,2.93,0.51,11,2,-0.000519753,0,0,0,0,26
